403,W E H I T 1 K,Non-Ad
424,"Teddy Afro s 5th studio album, will be released on May 2 2017 (Miyaziya 24 2009) You can get the CDs from music shops and your local vendors",Non-Ad
538,ሳምሰንግ ባትሪያቸው ከመፈንዳት እና በእሳት ከመያያዝ ጋር በተያያዘ ከገበያ አውጥቶ የነበረውን ጋላክሲ ኖት 7 ስማርት ስልኮቹን ዳግም በአነስተኛ ዋጋ ና በአዲስ ባትሪ ወደ ገበያ ሊመልስ መሆኑ ተሰማ,Non-Ad
541,http://wwwyoutubecom/watch?v=U6um03CFQEE,Non-Ad
543,E t h i o p i a A l b u m T e d d y A f r o 5 t h S t u d i o A l b u m 1 E t h i o p i a 2 S e m b e r é 3 M a r E s k e T u w a f ( F i q i r E s k e M e q a b i r ) 4 A n a a N y a a t u ( L e E n e Y a r e g e w ) 5 M e m a t s e n é 6 T a m o l i s h a l 7 Y a m r a l 8 E m m a Z e n d Y i d e r ( A m s a l e T o b i t ) 9 A t s e T e w o d r o s 1 0 M a r a k i y e 1 1 A m e n 1 2 A d e y 1 3 N a t B a r o 1 4 O l a n Y i z o,Non-Ad
547,Now all eyes are looking forward into Madridwhen the draw of UEFA Champions league semi final take place this tie confirmed that one Spanish team gonna book into final for four straight years but the question is who s gonna be that team? ️️️It s derby Madridiero ️Real vs Athletico ️venue:Santiago bernabeu ️Tuesday 2/5/2017 ️️3⃣:4⃣5⃣ pm local time You ll get live commentary exclusively on Join us right now,Non-Ad
561,The second fixture of UEFA Champions league semi final continue to night Juventus traveled to World smallest country (Monaco) to face Monaco in first leg Kick off time:3⃣:4⃣5⃣ pm Monaco vs Juventus Venue: Stade Louis II You can watch live commentary exclusively on,Non-Ad
565,Here We Gooooo We Reach 15k Thanks For everything! Keep inviting your fiiends,Non-Ad
567,Join live commentary AS MONACO Vs JUVENTUS,Non-Ad
571,Q u e s t i o n f o r t h e d a y W h y i s t h e r e a D i n t h e w o r d f r i d g e b u t n o t i n r e f r i g e r a t o r ? ?,Non-Ad
582,Leading Sport News Channel In Ethiopia Join Now ️️️,Non-Ad
594,We are live commentary United Vs Vigo Join Us,Non-Ad
595,Q u e s t i o n f o r t h e d a y W h e n y o u d e l e t e a p i c t u r e w h e r e d o e s i t g o ? ?,Non-Ad
604,"The Leading Sport News channel in Ethiopia join for more info about club,player and live commentary",Non-Ad
621,Q u e s t i o n f o r t h e d a y I s n t i t w e i r d w e h a v e a l i t t l e v o i c e i n o u r h e a d s ? L i k e t h e o n e y o u u s e d t o r e a d t h i s # ⓔ,Non-Ad
640,We re inches away from reaching 19 k (1900) members and we are seeking to hit 2k until tomorrow afternoon so help us by inviting your friends by sending the link thanks a lot for inviting!,Non-Ad
642,️ ️ N O W W O R D ! ! ! ️ ️ ️ ️ 1 9 k ️ ️ T h a n k s F o r Y o u r S u p p o r t ! ! ! C o n t i n u e i n v i t i n g Y o u r F r i e n d s ️ ️ ️,Non-Ad
644,I f Y o u L i k e U s,Non-Ad
646,E l u,Non-Ad
647,"For Sport News Update,Live Commentary Join right now",Non-Ad
648,T h a n k s E l u,Non-Ad
650,️️ቀላል ይሆናል!️️ 2⃣0⃣0⃣0⃣ ሞልተናል እናመሰግናለን። እንወዳችሀለን ኑሩልን ኢትዮጵያ ለዘላለም ትኑር ቀጥሉ ኢንቫይት ማድረጋችሁን ቀጥሉ።,Non-Ad
652,We Have 13k Member! The Leading sport Channel in Ethiopia Join now for more funny memes!,Non-Ad
653,Dear memebers we thank u for helping as reach this far Show as your ️ by adding more members get ready for more,Non-Ad
